transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,fraud_type,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash
T100021,2023-05-20T16:03:55.763817,ACC593554,ACC333238,311.77,withdrawal,other,Toronto,atm,FALSE,,,0.25,8,0.02,ACH,98.204.168.142,D2164686
T100022,2023-12-20T05:56:54.785269,ACC468203,ACC772642,37.3,payment,restaurant,New York,mobile,FALSE,,,1.11,9,0.04,wire_transfer,222.176.160.223,D9580255
T100023,2023-02-12T23:03:25.445149,ACC299312,ACC367095,1514.87,deposit,online,New York,web,FALSE,,,2.31,14,0.07,wire_transfer,169.160.63.153,D9508103
T100024,2023-04-24T10:20:01.107412,ACC442027,ACC521947,7.02,transfer,entertainment,Berlin,pos,FALSE,,,-0.95,20,0.57,UPI,207.0.155.146,D4526280
T100025,2023-06-07T15:49:12.698079,ACC736130,ACC786508,10.49,transfer,other,Singapore,pos,FALSE,,,-1.94,17,0.47,ACH,86.43.145.171,D2566777
T100026,2023-10-27T00:23:22.377628,ACC805477,ACC425498,156.29,withdrawal,utilities,Tokyo,mobile,FALSE,,,0.04,3,0.46,card,99.196.253.204,D5093379
T100027,2023-02-24T18:43:29.938799,ACC105814,ACC887443,1426.59,deposit,online,Berlin,web,FALSE,,,1.13,2,0.56,UPI,62.233.68.237,D9910914
T100028,2023-12-28T08:56:16.399904,ACC432711,ACC891937,232.33,payment,online,Singapore,web,FALSE,,,-1.59,9,0.77,UPI,248.122.140.225,D2299954
T100029,2023-09-18T17:39:10.787302,ACC384913,ACC452161,56.98,transfer,travel,Tokyo,web,FALSE,,,0.52,13,0.69,ACH,109.32.212.208,D6551268
T100030,2023-07-18T14:16:24.926931,ACC165290,ACC316881,12.64,payment,online,New York,pos,FALSE,,,0.93,13,0.85,UPI,214.112.249.112,D5579094
T100031,2023-06-09T01:55:23.340607,ACC507746,ACC452457,82.89,payment,entertainment,Singapore,web,FALSE,,,0.03,13,0.59,card,13.42.219.69,D8746014
T100032,2023-03-08T15:56:46.580128,ACC497519,ACC443254,242.33,withdrawal,other,Toronto,atm,FALSE,,,-0.43,14,0.25,UPI,41.240.9.26,D6871360
T100033,2023-03-23T22:11:10.218138,ACC919182,ACC783414,1067.98,deposit,retail,Berlin,web,FALSE,,,2.42,20,0.15,card,64.242.58.111,D8801975
T100034,2023-09-13T18:18:47.333219,ACC275939,ACC735324,149.59,deposit,entertainment,Sydney,mobile,FALSE,,,1.18,13,0.4,card,101.38.124.52,D6059717
T100035,2023-11-08T03:34:07.587904,ACC944657,ACC226935,671.66,deposit,restaurant,Dubai,atm,FALSE,,,-0.57,17,0.65,card,6.215.250.54,D8273315
T100036,2023-12-18T12:29:56.719679,ACC968962,ACC582071,211.42,withdrawal,online,Tokyo,atm,FALSE,,,-1.82,19,0.27,UPI,125.44.142.230,D5091349
T100037,2023-10-02T16:10:20.023696,ACC739979,ACC800646,66.38,payment,restaurant,New York,pos,FALSE,,,0.41,6,0.49,wire_transfer,181.132.174.143,D5635017
T100038,2023-07-23T12:43:45.856472,ACC300337,ACC189771,238.44,withdrawal,online,Singapore,web,FALSE,,,-0.71,1,0.09,UPI,113.207.124.156,D7191135
T100039,2023-06-23T09:45:42.773520,ACC460455,ACC546173,14.91,transfer,restaurant,Singapore,atm,FALSE,,,-0.92,9,0.23,wire_transfer,98.161.61.94,D4213524
T100040,2023-03-21T14:31:46.003212,ACC389930,ACC859782,12.27,transfer,travel,Berlin,atm,FALSE,,,-0.54,18,0.13,ACH,23.27.149.64,D9235577
T100041,2023-02-07T10:40:04.029099,ACC701949,ACC398151,28.53,payment,other,Singapore,atm,FALSE,,,0.65,2,0.25,ACH,244.58.33.205,D9250138
T100042,2023-01-28T20:57:35.321182,ACC819796,ACC156213,447.6,withdrawal,entertainment,Sydney,mobile,FALSE,,,1.25,20,0.6,ACH,115.194.230.226,D5988757
T100043,2023-11-11T12:03:35.973494,ACC420214,ACC696251,470.36,deposit,travel,Berlin,web,FALSE,,,1.15,3,0.16,wire_transfer,88.38.80.1,D7853787
T100044,2023-06-15T05:24:44.828824,ACC592738,ACC405407,324.63,deposit,utilities,Sydney,atm,FALSE,,,0.66,9,0.79,UPI,101.217.58.115,D3499627
T100045,2023-11-28T17:41:03.336225,ACC174878,ACC162535,411.53,withdrawal,grocery,Sydney,pos,FALSE,,,0.32,15,0.69,card,206.139.252.224,D2349590
T100046,2023-08-07T19:48:04.174128,ACC870214,ACC437978,123.84,transfer,retail,London,web,FALSE,,,1.49,9,0.58,card,89.240.226.142,D4044882
T100047,2023-12-31T10:14:32.497473,ACC765620,ACC953797,104.16,payment,travel,Singapore,atm,FALSE,,,0,11,0.32,UPI,53.82.168.210,D9312590
T100048,2023-04-16T16:47:16.394519,ACC953085,ACC897441,2073.2,deposit,other,London,atm,FALSE,,,-1.18,13,0.86,wire_transfer,0.236.211.27,D4147112
T100049,2023-07-10T00:31:44.680642,ACC893188,ACC622707,215.32,payment,retail,Berlin,atm,FALSE,,,2.37,10,0.44,ACH,248.62.14.122,D3657144
T100050,2023-04-24T10:10:16.364372,ACC679077,ACC527809,1059.6,deposit,utilities,London,pos,FALSE,,,-0.35,10,0.51,card,139.212.247.241,D5089126
T100051,2023-06-16T21:26:58.204086,ACC502219,ACC299869,386.3,withdrawal,travel,Sydney,pos,FALSE,,,-0.46,17,0.27,wire_transfer,1.144.152.250,D3493017
T100052,2023-06-13T14:45:18.587010,ACC461888,ACC448588,21.18,payment,other,Toronto,web,FALSE,,,-0.66,14,0.04,ACH,242.195.197.77,D9310235
T100053,2023-12-19T07:51:43.488465,ACC626690,ACC718849,27.64,transfer,travel,Singapore,mobile,FALSE,,,-0.32,1,0.72,UPI,209.79.38.240,D5446344
T100054,2023-05-05T11:47:47.077046,ACC516791,ACC781403,1224.09,deposit,restaurant,Dubai,atm,FALSE,,,0.19,3,0.23,UPI,147.116.46.222,D2651601
T100055,2023-10-06T10:50:18.638267,ACC205389,ACC565230,0.01,withdrawal,grocery,New York,mobile,FALSE,,,-0.19,2,0.29,wire_transfer,191.220.74.125,D9911492
T100056,2023-06-01T06:34:23.955694,ACC931016,ACC288803,446.5,withdrawal,entertainment,London,pos,FALSE,,,-1.32,8,0.46,ACH,130.235.130.4,D8805654
T100057,2023-11-26T19:35:40.382614,ACC673149,ACC265649,1401.61,deposit,other,Toronto,atm,FALSE,,,0.02,9,0.46,UPI,154.101.196.247,D2789344
T100058,2023-03-29T07:55:19.015988,ACC476395,ACC702733,14.25,transfer,grocery,New York,pos,FALSE,,,2,2,0.91,wire_transfer,254.146.117.180,D4674286
T100059,2023-08-22T03:46:21.400794,ACC362801,ACC810687,397.02,withdrawal,travel,New York,atm,FALSE,,,0.1,2,0.58,UPI,67.46.151.167,D7970985
T100060,2023-03-06T06:36:25.261532,ACC924718,ACC665610,25.72,transfer,grocery,Tokyo,atm,FALSE,,,0.82,11,0.8,UPI,239.38.72.115,D7667458
T100061,2023-12-20T18:16:58.750854,ACC483542,ACC194689,86.37,payment,retail,Sydney,mobile,FALSE,,,-0.17,12,0.67,UPI,134.195.190.55,D4922880
T100062,2023-06-22T21:08:14.508663,ACC688678,ACC443939,467.77,withdrawal,travel,Singapore,atm,FALSE,,,0.23,2,0.3,UPI,252.59.49.120,D3276065
T100063,2023-05-23T07:32:14.931151,ACC803055,ACC879238,4.29,payment,entertainment,Dubai,mobile,FALSE,,,0.2,20,0.41,UPI,143.16.189.111,D8438733
T100064,2023-06-12T14:32:08.633993,ACC997004,ACC480303,1142.37,deposit,restaurant,Toronto,mobile,FALSE,,,-0.43,15,0.09,UPI,108.10.25.170,D5086407
T100065,2023-12-28T16:04:16.026697,ACC315173,ACC171942,0.01,withdrawal,utilities,Berlin,atm,FALSE,,,2.59,20,0,ACH,74.66.128.89,D2844258
T100066,2023-08-30T06:51:53.816949,ACC238205,ACC115582,13.09,transfer,utilities,Toronto,mobile,FALSE,,,-0.05,14,0.53,ACH,32.243.229.185,D9610704
T100067,2023-08-06T06:30:51.539486,ACC628313,ACC332311,842.25,deposit,grocery,Singapore,mobile,FALSE,,,0.52,16,0.85,card,218.55.251.227,D2232969
T100068,2023-11-25T15:34:36.704936,ACC737846,ACC255539,125.4,deposit,entertainment,Sydney,atm,FALSE,,,1.23,15,0.51,UPI,220.50.58.110,D8215376
T100069,2023-06-15T02:37:15.829881,ACC533914,ACC455395,65.94,payment,online,Dubai,mobile,FALSE,,,-0.04,14,0.31,wire_transfer,130.191.78.242,D2126310
T100070,2023-02-03T09:07:44.925912,ACC197758,ACC552855,697.94,deposit,restaurant,Tokyo,mobile,FALSE,,,-0.5,14,0.87,wire_transfer,26.147.159.180,D2738129
T100071,2023-07-31T04:33:58.395942,ACC262246,ACC788637,60.75,payment,utilities,London,atm,FALSE,,,-0.9,4,0.76,wire_transfer,115.219.13.136,D1485753
T100072,2023-03-08T18:26:41.245358,ACC899444,ACC423993,6.1,transfer,restaurant,New York,web,FALSE,,,-0.93,5,0.74,ACH,15.46.110.192,D8043620
T100073,2023-06-15T18:56:13.654664,ACC488028,ACC426775,12.32,transfer,travel,New York,web,FALSE,,,-0.41,20,0.05,ACH,41.139.226.217,D9148051
T100074,2023-08-11T02:59:08.970660,ACC386436,ACC326040,1084.2,deposit,restaurant,Dubai,mobile,FALSE,,,-0.58,17,0.67,wire_transfer,23.112.202.28,D1128967
T100075,2023-03-16T20:44:47.649619,ACC904624,ACC243901,18.72,transfer,grocery,Toronto,mobile,FALSE,,,-1.21,16,0.75,card,89.66.194.117,D9393009
T100076,2023-07-24T19:25:06.430190,ACC945362,ACC471371,1163.52,deposit,online,New York,pos,FALSE,,,-0.39,11,0.58,card,207.213.148.58,D7795314
T100077,2023-01-09T00:42:12.445404,ACC280222,ACC940247,83.34,payment,restaurant,London,pos,FALSE,,,0.1,8,0.44,card,205.40.202.158,D6696087
T100078,2023-03-23T01:58:16.449289,ACC180089,ACC635280,1264,deposit,utilities,Toronto,atm,FALSE,,,0.05,7,0.17,ACH,78.38.90.252,D8783840
T100079,2023-10-04T02:56:43.544989,ACC570711,ACC814220,98.6,transfer,restaurant,Tokyo,pos,FALSE,,,0.56,16,0.44,card,155.140.28.180,D9511700
T100080,2023-01-28T15:54:36.533081,ACC573866,ACC139434,921.97,deposit,restaurant,Sydney,mobile,FALSE,,,-0.89,15,0.58,card,21.230.96.164,D8979730
T100081,2023-07-03T00:58:39.231861,ACC572407,ACC208529,53.07,transfer,travel,Tokyo,mobile,FALSE,,,-0.79,15,0.99,ACH,81.186.190.144,D7499771
T100082,2023-05-30T14:49:11.711591,ACC811875,ACC726928,1309.83,deposit,restaurant,London,atm,FALSE,,,-0.92,9,0.72,card,76.170.41.72,D6869018
T100083,2023-04-25T01:37:48.075434,ACC832409,ACC794299,171.6,payment,entertainment,London,atm,FALSE,,,-0.35,11,0.81,UPI,47.216.185.9,D7083379
T100084,2023-04-23T23:40:00.385535,ACC458332,ACC903373,117.37,payment,utilities,Berlin,web,FALSE,,,1.71,4,0.51,ACH,19.172.67.192,D3587931
T100085,2023-03-02T03:17:08.080421,ACC908554,ACC755087,261.73,withdrawal,other,New York,pos,FALSE,,,0.9,8,0.97,wire_transfer,145.229.119.122,D6192009
T100086,2023-12-20T01:37:35.550551,ACC975679,ACC303440,28.66,transfer,other,Singapore,atm,FALSE,,,-1.04,6,0.82,UPI,70.128.26.246,D7227905
T100087,2023-07-22T12:46:36.947705,ACC845957,ACC986982,591.25,deposit,grocery,London,web,FALSE,,,-0.02,15,0.91,wire_transfer,75.223.46.113,D8568671
T100088,2023-11-19T21:21:24.543971,ACC535050,ACC155843,44.59,payment,restaurant,Berlin,pos,FALSE,,,-0.17,4,0.84,card,171.74.70.19,D5813037
T100089,2023-12-02T11:23:25.667980,ACC829884,ACC971482,294.5,withdrawal,other,Singapore,mobile,FALSE,,,0.17,1,0.26,card,76.216.56.147,D4986941
T100090,2023-04-20T23:05:04.072471,ACC350021,ACC540218,67.03,payment,travel,London,pos,FALSE,,,-0.88,5,0.29,card,0.180.123.213,D4142605
T100091,2023-08-31T13:53:33.371736,ACC648913,ACC478120,603.02,deposit,retail,Dubai,pos,FALSE,,,-0.96,13,0.98,card,129.8.182.34,D6784825
T100092,2023-03-30T21:15:47.151426,ACC758775,ACC208699,23.32,transfer,entertainment,New York,atm,FALSE,,,0.24,15,0.98,wire_transfer,245.93.69.32,D8678589
T100093,2023-01-14T17:58:40.807740,ACC145934,ACC929538,24.43,withdrawal,retail,Toronto,atm,FALSE,,,-0.57,18,0.47,UPI,18.97.146.182,D1802018
T100094,2023-11-13T10:23:34.465934,ACC386488,ACC230521,12.51,transfer,online,Dubai,pos,FALSE,,,-0.34,16,0.37,UPI,136.42.217.40,D8224389
T100095,2023-08-09T02:29:27.231910,ACC671971,ACC408036,19.81,transfer,travel,London,atm,FALSE,,,0.55,10,0.45,wire_transfer,218.85.227.179,D8501590
T100096,2023-01-16T22:01:52.415642,ACC744718,ACC556068,40.97,transfer,retail,London,pos,FALSE,,,-1.66,6,0.95,wire_transfer,73.224.17.64,D2127988
T100097,2023-03-28T23:19:10.316936,ACC484123,ACC479742,83.44,payment,retail,Tokyo,pos,FALSE,,,-0.14,12,0.44,wire_transfer,39.70.187.203,D6274512
T100098,2023-08-26T09:09:07.392761,ACC218959,ACC127172,250.97,withdrawal,other,Dubai,mobile,FALSE,,,0.24,7,1,wire_transfer,146.251.102.62,D3277144
T100099,2023-11-08T20:45:29.893560,ACC281043,ACC848022,35.67,payment,travel,Toronto,atm,FALSE,,,-1.54,18,0.54,card,153.80.89.185,D9535505
T100100,2023-03-24T02:21:23.578396,ACC930541,ACC245622,489.36,withdrawal,other,New York,atm,FALSE,,,-2.8,5,0.61,wire_transfer,44.33.158.203,D9030667
T100101,2023-07-12T10:05:38.170728,ACC963333,ACC702826,390.9,deposit,entertainment,Toronto,mobile,FALSE,,,0.58,15,0.68,UPI,176.65.93.66,D8258130
T100102,2023-07-03T14:05:12.369467,ACC971776,ACC230192,244.53,withdrawal,grocery,Tokyo,web,FALSE,,,0.66,17,0.89,wire_transfer,40.128.100.140,D3100009
T100103,2023-08-17T22:11:45.190643,ACC659392,ACC197966,100.9,withdrawal,entertainment,Tokyo,atm,FALSE,,,-0.28,1,0.08,card,135.107.213.15,D9355692
T100104,2023-11-22T04:36:45.653374,ACC403742,ACC773088,42.91,transfer,other,Berlin,pos,FALSE,,,-1.46,6,0.44,wire_transfer,247.237.104.174,D3410360
T100105,2023-04-26T00:13:21.696251,ACC434827,ACC869864,24.58,transfer,online,Tokyo,atm,FALSE,,,0.44,11,0.24,card,62.136.230.126,D3363534
T100106,2023-02-05T17:04:12.275150,ACC502810,ACC745270,86.85,payment,utilities,Tokyo,atm,FALSE,,,0.22,17,0.47,wire_transfer,157.254.11.46,D7597509
T100107,2023-07-04T18:41:36.585918,ACC325595,ACC711680,16.72,transfer,retail,New York,atm,FALSE,,,0.55,20,0.88,UPI,240.146.4.55,D8229768
T100108,2023-02-19T05:16:12.393742,ACC862847,ACC483545,385.5,payment,restaurant,New York,pos,FALSE,,,-0.59,18,0.29,card,197.230.143.60,D3158613
T100109,2023-12-23T09:43:31.666889,ACC491326,ACC933510,11.22,transfer,restaurant,Tokyo,web,FALSE,,,-0.28,17,0.04,UPI,19.70.170.242,D9712957
T100110,2023-06-17T14:13:11.205545,ACC640546,ACC246570,36.85,transfer,restaurant,Tokyo,pos,FALSE,,,-0.99,17,0.53,wire_transfer,153.243.8.188,D6557278
T100111,2023-09-04T11:32:38.393029,ACC712056,ACC422623,744.85,deposit,other,Sydney,web,FALSE,,,-0.66,19,0.48,card,194.75.124.16,D2843740
T100112,2023-03-12T05:16:14.562350,ACC428930,ACC539122,511.61,withdrawal,online,Berlin,pos,FALSE,,,1.14,2,0.71,UPI,106.166.244.192,D6263895
T100113,2023-12-16T18:33:53.681910,ACC659024,ACC458955,8.19,transfer,grocery,Singapore,web,FALSE,,,-1.17,9,0.56,ACH,115.152.147.106,D9204110
T100114,2023-04-27T04:16:36.934902,ACC687713,ACC934042,67.09,transfer,grocery,London,pos,FALSE,,,1.04,5,0.29,UPI,147.40.177.226,D5302415
T100115,2023-10-01T00:41:06.927107,ACC311883,ACC968170,21.22,transfer,grocery,Tokyo,mobile,FALSE,,,-2.26,8,0.05,ACH,115.119.26.51,D7934046
T100116,2023-05-02T04:22:19.710297,ACC205428,ACC814281,234.08,withdrawal,retail,Tokyo,pos,FALSE,,,-0.66,10,0.32,UPI,30.45.118.19,D3937099
T100117,2023-06-02T17:40:20.800078,ACC138105,ACC976822,57.55,payment,other,Tokyo,atm,FALSE,,,0.09,1,0.3,card,54.171.145.232,D9796605
T100118,2023-06-30T10:40:22.087900,ACC992400,ACC628705,124.67,payment,grocery,Berlin,mobile,FALSE,,,0.58,9,0.72,wire_transfer,7.172.151.98,D3944316
T100119,2023-08-12T19:57:41.101373,ACC525187,ACC967161,23.16,payment,restaurant,London,pos,FALSE,,,0.94,6,0.98,card,244.165.127.3,D5375250
T100120,2023-05-21T14:06:41.984359,ACC890371,ACC379963,10.01,transfer,grocery,New York,atm,FALSE,,,-0.13,4,0.47,wire_transfer,81.207.159.60,D5949909
T100121,2023-05-15T10:41:04.528230,ACC329772,ACC240057,30.74,payment,entertainment,Singapore,atm,FALSE,,,-0.34,18,0.91,UPI,111.126.41.228,D9861274
T100122,2023-09-14T22:59:28.522916,ACC691573,ACC217659,1090.94,deposit,utilities,Tokyo,web,FALSE,,,0.66,7,0.72,wire_transfer,250.46.228.28,D8607331
T100123,2023-02-18T16:49:56.700598,ACC578987,ACC691303,1400.85,deposit,other,Sydney,mobile,FALSE,,,-0.86,9,0.82,UPI,111.37.23.216,D6780235
T100124,2023-09-14T08:22:17.515673,ACC163182,ACC172371,19.44,payment,retail,Sydney,pos,FALSE,,,0.2,14,0.37,ACH,195.229.193.192,D2346371
T100125,2023-09-08T01:43:04.446946,ACC665497,ACC239449,15.08,transfer,travel,Tokyo,pos,FALSE,,,-1.69,8,0.83,ACH,11.152.237.217,D9924365
T100126,2023-05-19T17:27:42.695914,ACC359535,ACC583000,20.65,transfer,entertainment,Sydney,web,FALSE,,,1.44,20,0.77,card,8.123.105.34,D2692765
T100127,2023-08-06T08:57:02.634909,ACC726822,ACC804667,1702.85,deposit,utilities,New York,pos,FALSE,,,0.3,8,0.54,UPI,28.71.148.119,D6350316
T100128,2023-07-31T15:40:45.754420,ACC958136,ACC436241,404.98,withdrawal,grocery,Tokyo,web,FALSE,,,-0.11,19,0.88,UPI,89.218.253.24,D6778321
T100129,2023-12-11T13:17:49.020459,ACC499669,ACC923975,10.97,transfer,online,Dubai,web,FALSE,,,0.34,13,0.18,wire_transfer,242.123.115.153,D3421820
T100130,2023-10-22T03:35:56.979707,ACC689704,ACC532723,51.32,payment,entertainment,Dubai,web,FALSE,,,0.42,15,0.85,wire_transfer,47.97.26.137,D7327828
T100131,2023-09-04T16:21:57.689132,ACC141468,ACC176319,563,withdrawal,utilities,Singapore,web,FALSE,,,1.38,10,0.96,wire_transfer,7.108.97.60,D9034958
T100132,2023-12-01T16:30:20.735115,ACC733760,ACC837954,492.52,withdrawal,online,Berlin,atm,FALSE,,,-0.9,12,0.31,wire_transfer,184.254.238.50,D8876742
T100133,2023-10-06T09:52:11.176151,ACC312994,ACC488712,16.25,transfer,online,New York,web,FALSE,,,0.84,1,0.26,ACH,213.151.78.100,D6534221
T100134,2023-03-26T16:57:47.389639,ACC973844,ACC357666,35.05,payment,restaurant,Sydney,pos,FALSE,,,-1.58,12,0.17,UPI,250.94.30.17,D2247057
T100135,2023-12-12T20:50:52.274832,ACC150871,ACC901467,1191.22,deposit,online,Tokyo,web,FALSE,,,0.4,5,0.01,card,233.191.30.247,D9184838
T100136,2023-01-07T10:48:36.999988,ACC678440,ACC531319,648.12,deposit,retail,Sydney,atm,FALSE,,,-1.55,14,0.81,card,91.54.49.76,D5042786
T100137,2023-03-12T17:19:29.349288,ACC364679,ACC954814,4.68,transfer,grocery,Dubai,mobile,FALSE,,,-0.02,13,0.46,wire_transfer,124.115.153.41,D1531577
T100138,2023-02-04T15:03:51.939149,ACC495490,ACC679549,36.49,payment,retail,New York,web,FALSE,,,-1.07,11,0.57,card,48.21.117.108,D8977571
T100139,2023-04-10T00:47:33.582212,ACC817675,ACC393992,364.61,deposit,entertainment,Toronto,mobile,FALSE,,,0,19,0.14,ACH,203.39.153.83,D5034453
T100140,2023-07-27T08:15:22.529685,ACC809922,ACC666820,13.24,transfer,online,Tokyo,mobile,FALSE,,,1.01,3,0.34,wire_transfer,203.167.15.139,D8558977
T100141,2023-06-29T12:41:10.591910,ACC679902,ACC493663,75.55,payment,entertainment,Dubai,mobile,FALSE,,,0.35,8,0.71,wire_transfer,42.137.78.194,D3588336
T100142,2023-09-28T09:22:49.193166,ACC478221,ACC211726,1014.57,deposit,retail,Sydney,pos,FALSE,,,0.03,3,0.19,wire_transfer,229.208.52.13,D2503554
T100143,2023-05-10T06:17:20.965720,ACC725920,ACC727094,32.67,transfer,online,New York,atm,FALSE,,,-0.46,13,0.78,UPI,124.86.194.86,D3329349
T100144,2023-04-09T11:43:48.433887,ACC617077,ACC253023,1607.46,deposit,entertainment,Dubai,atm,FALSE,,,-0.54,12,0.25,UPI,126.253.100.234,D2794698
T100145,2023-02-19T10:53:17.681866,ACC514913,ACC448354,174.88,payment,restaurant,Singapore,atm,FALSE,,,1.66,20,0.14,UPI,164.102.245.160,D3980258
T100146,2023-12-19T11:40:25.313917,ACC405605,ACC870571,20.89,payment,utilities,Toronto,pos,FALSE,,,0.41,4,0.93,wire_transfer,102.92.13.236,D4517316
T100147,2023-06-10T09:51:55.439086,ACC971662,ACC826490,513.73,deposit,online,Singapore,web,FALSE,,,-0.91,8,0.25,wire_transfer,78.216.193.37,D8534089
T100148,2023-12-29T05:32:14.576884,ACC710527,ACC520274,26.43,payment,retail,Toronto,mobile,FALSE,,,0.17,12,0.17,card,22.204.169.220,D2777454
T100149,2023-01-05T04:23:54.562535,ACC332785,ACC635482,260.07,withdrawal,other,Toronto,pos,FALSE,,,-1.45,19,0.69,UPI,77.176.12.247,D2754047
T100150,2023-04-18T21:59:10.506268,ACC221707,ACC971699,437.54,withdrawal,restaurant,Sydney,atm,FALSE,,,0.26,12,0.48,UPI,224.231.163.34,D6037595
T100151,2023-01-18T05:25:24.749169,ACC220675,ACC123682,15.67,transfer,travel,Tokyo,web,FALSE,,,-1.19,18,0.16,ACH,218.236.118.207,D4094587
T100152,2023-03-10T21:44:58.075746,ACC553125,ACC514798,918.43,deposit,utilities,Singapore,pos,FALSE,,,0.7,9,0.75,UPI,32.52.95.187,D6469119
T100153,2023-03-14T01:22:14.341053,ACC375097,ACC803281,0.57,payment,restaurant,Dubai,pos,FALSE,,,0.02,12,0.35,card,234.88.152.43,D3247270
T100154,2023-04-25T14:30:25.650085,ACC420214,ACC222629,318.12,withdrawal,restaurant,Tokyo,pos,FALSE,,-4797.552868,-0.94,16,0.64,UPI,88.85.250.147,D3353785
T100155,2023-03-10T20:59:00.817694,ACC749498,ACC156215,38.87,transfer,retail,Singapore,web,FALSE,,,-0.48,13,0.96,ACH,253.209.251.212,D8446596
T100156,2023-06-28T11:00:27.808530,ACC692862,ACC132359,118.05,withdrawal,grocery,New York,atm,FALSE,,,-0.59,15,0.57,ACH,253.57.58.137,D7154919
T100157,2023-07-17T21:18:00.003854,ACC896922,ACC853905,109.52,payment,utilities,Dubai,mobile,FALSE,,,-0.14,10,0.87,ACH,16.230.134.178,D2459332
T100158,2023-06-10T09:15:08.473097,ACC913308,ACC951327,346.19,withdrawal,utilities,Toronto,pos,FALSE,,,-1.31,7,0.81,ACH,179.143.86.165,D5909595
